Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication_Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Reference Count,Copyright Year,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Towards safety guarantees for service-oriented systems,B. Becker,"System Analysis and Modeling Group, Hasso Plattner Institute at the University of Potsdam, Prof.-Dr.-Helmertstr. 2-3, D-14482, Germany",2009 31st International Conference on Software Engineering - Companion Volume,,2009,,,347,350,"In this paper I will address the problem of verifying that a service-oriented embedded system fulfills required safety guarantees. Services will be represented by collaborations among components with a varying number of participants. The services are equipped with rules for the instantiation and deletion of services, addition and removal of participants. Further a service's behavior could be modified at run-time. I will present techniques which are able to verify that such systems are safe with respect to a given specification. The sketched verification technique is able to cope with structural changes, run-time changes of rules and the run-time evolution of services.",,978-1-4244-3495,10.1109/ICSE-COMPANION.2009.5071018,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5071018,,Safety;Collaboration;Runtime;Service oriented architecture;Embedded system;Unified modeling language;Mobile communication;Mobile handsets;Rail transportation;Protocols,embedded systems;formal verification;software architecture,safety guarantees;service-oriented embedded system;service behavior;verification technique;structural changes;run-time changes;run-time service evolution,,2,18,,,,,,IEEE,IEEE Conferences
Processing Chains in System of Systems,T. Ploom; I. Last; A. Glaser; S. Scheit,NA; NA; NA; NA,2014 IEEE 8th International Symposium on the Maintenance and Evolution of Service-Oriented and Cloud-Based Systems,,2014,,,19,28,"SOA has been seen as one of the main approaches for managing ""system of systems"" (SoS) i.e. Large scale IT landscapes. The extension of SOA to include the concept of process orientation could be the next evolutionary step for SOA. Before starting to define reference architectures for process-oriented SOA in SoS it would be advantageous to learn more about the current state of process handling in a SoS. The objective of the current paper is to describe the different approaches to implementing processes in a SoS. The term processing chain is introduced as an abstract representation of processes in SoS. A classification of processing chains is defined and an approximate distribution of different ""processing chains"" is presented in a case study based on the analyzed SoS. Also, the paper addresses the question which processing chain type would be appropriate in a certain context based on the underlying requirements.",2326-6937;2326-6910,978-1-4799-6152,10.1109/MESOCA.2014.11,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6976607,SOA;processing chain;SoS;workflow automation;workflow classification;human workflow;case management workflow;ad-hoc workflow;choreography;process orchestration;federated processing chain;orchestrated processing chain;stovepipe processing;enter,Service-oriented architecture;Runtime;Collaboration;Semiconductor optical amplifiers;Context;Automation;Business,pattern classification;service-oriented architecture;software management,processing chain classification;system-of-systems management;process-oriented SOA;service-oriented architecture;process orientation;reference architectures;process handling,,,27,,,,,,IEEE,IEEE Conferences
SOAME 2010: International Workshop on SOA Migration and Evolution,G. Lewis; F. Ricca; U. Steffens; M. Postina; A. Winter,NA; NA; NA; NA; NA,2010 14th European Conference on Software Maintenance and Reengineering,,2010,,,270,271,"For many enterprises, introduction and maintenance of service orientation is still a daunting task and there is often no distinct idea of how to approach respective projects. Especially the migration of legacy systems functionality into a new service-oriented environment - the SOA enabling - is key to the success of SOA projects. Another challenge arises for enterprises having SOA already introduced. Here, the focus lies on maintaining and evolving existing SOA environments - SOA maintenance. The SOAME workshop (soame2010.eu) brought together researchers and practitioners in these areas to present and discuss state-of-the-art techniques as well as real-world experiences.",1534-5351,978-0-7695-4321-5978-1-61284-369,10.1109/CSMR.2010.54,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5714450,SOA;software evolution;services,Service oriented architecture;Conferences;Maintenance engineering;Semiconductor optical amplifiers;Biological system modeling;Business;Software engineering,service-oriented architecture;software maintenance,SOA migration;SOA evolution;software maintenance;service-oriented environment,,,4,,,,,,IEEE,IEEE Conferences
Run-Time Reliability Estimation of Microservice Architectures,R. Pietrantuono; S. Russo; A. Guerriero,NA; NA; NA,2018 IEEE 29th International Symposium on Software Reliability Engineering (ISSRE),,2018,,,25,35,"Microservices are gaining popularity as an architectural paradigm for service-oriented applications, especially suited for highly dynamic contexts requiring loosely-coupled independent services, frequent software releases, decentralized governance and data management. Because of the high flexibility and evolvability characterizing microservice architectures (MSAs), it is difficult to estimate their reliability at design time, as it changes continuously due to the services' upgrades and/or to the way applications are used by customers. This paper presents a testing method for on-demand reliability estimation of microservice applications in their operational phase. The method allows to faithfully assess, upon request, the reliability of a MSA-based application under a scarce testing budget, at any time when it is in operation, and exploit field data about microservice usage and failing/successful demands. A new in-vivo testing algorithm is developed based on an adaptive web sampling strategy, named Microservice Adaptive Reliability Testing (MART). The method is evaluated by simulation, as well as by experimentation on an example application based on the Netflix Open Source Software MSA stack, with encouraging results in terms of estimation accuracy and, especially, efficiency.",2332-6549;1071-9458,978-1-5386-8321-7978-1-5386-8322,10.1109/ISSRE.2018.00014,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8539066,"Reliability assessment, microservice architecture, software testing, runtime testing, operational testing, reliability testing, adaptive testing, in-vivo testing, Netflix",Testing;Software reliability;Estimation;Software;Monitoring;Computer architecture,program testing;public domain software;service-oriented architecture;software reliability,Netflix Open Source Software MSA stack;microservice architectures;architectural paradigm;service-oriented applications;frequent software releases;decentralized governance;data management;on-demand reliability estimation;microservice applications;MSA-based application;microservice usage;in-vivo testing algorithm;Microservice Adaptive Reliability;adaptive web sampling strategy,,,35,,,,,,IEEE,IEEE Conferences
A RGPS-based framework for service-oriented requirement evolution of networked software,S. Zhang; J. Yin; R. Liu,"PLA University of Science and Technology, Nanjing 210007, China; Institute of Electronic System Engineering, Beijing 100141, China; Institute of Electronic System Engineering, Beijing 100141, China",2011 IEEE 3rd International Conference on Communication Software and Networks,,2011,,,321,325,"Internet and World Wide Web foster the innovation of software. Networked software (or applications) has gradually been a promising form of Internet-based software, which would have a profound effect on human society. It is a hard task for software engineers to build rapid on-demand services of networked software in terms of personalized requirements. However, requirement evolution has received little attention, in marked contrast with requirement analysis and other research fields of requirement engineering. In this paper we proposed a RGPS (Role, Goal, Process and Service)-based framework for service-oriented requirement evolution of networked software, including its basic elements, a meta-model and some strategies. Although our work is at a formative stage, we have contributed a number of ideas that might help to advance our understanding of how to manage service-oriented requirement evolution in terms of aspects (or cross-cutting concerns).",,978-1-61284-486-2978-1-61284-485-5978-1-61284-484,10.1109/ICCSN.2011.6013724,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6013724,requirement evolution;networked software;RGPS meta-model;aspect,Software;Web services;Object oriented modeling;Unified modeling language;Business;Conferences;Monitoring,Internet;service-oriented architecture,RGPS-based framework;service-oriented requirement evolution;networked software;World Wide Web;Internet-based software;software engineers;on-demand services,,2,18,,,,,,IEEE,IEEE Conferences
A Platform-Independent Mechanism for Deployment of Business Processes Using Abstract Services,A. Mos; T. Jacquin,NA; NA,2013 17th IEEE International Enterprise Distributed Object Computing Conference Workshops,,2013,,,71,78,"This paper deals with the problem of efficiently deploying business processes in service oriented environments with the purpose of enhancing operational agility and improving governance. Today's solutions rely on early coupling between the business process layer and the underlying service oriented architecture layer and this constrains evolution in either of the two layers to the ability of the other layer to adapt. The presented approach leverages abstract architectural mappings that indirectly connect business process activities with service-based assets. It consists of a deployment mechanism that is capable of taking these mappings and generating fully executable artifacts for a variety of runtime platforms. The deployment mechanism is encapsulated in a self-contained entity that is instantiated and executed each time a business process needs to be deployed. This entity contains all the necessary data for the deployment, while ensuring complete accountability of operations. This approach promotes late binding of processes to the underlying SOA and it has the potential to significantly increase the speed of implementing changes in business operations while ensuring long-term sustainability. In addition it promotes independent evolutions of processes and services while encouraging incremental convergence of the SOA towards the needs of the business domain.",2325-6583;2325-6605,978-1-4799-3048,10.1109/EDOCW.2013.15,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6690536,BPM;SOA;deployment;governance;agility;BPMS,Business;Service-oriented architecture;Abstracts;Context;Runtime;Standards;Bridges,business data processing;service-oriented architecture,platform independent mechanism;business processes deployment;abstract services;service oriented environments;business process layer;service oriented architecture layer;architectural mappings;service based assets;deployment mechanism;runtime platforms;SOA,,6,13,,,,,,IEEE,IEEE Conferences
Microservices Architecture in DevOps,M. Waseem; P. Liang,NA; NA,2017 24th Asia-Pacific Software Engineering Conference Workshops (APSECW),,2017,,,13,14,"This doctoral research proposal is designed to address the challenges on employing microservices architecture (MSA) in DevOps. These two practices are relatively recent trends on the crowded street of software engineering paradigms. We believe that the coexistence of these practices may bring new challenges for architects about making and implementing decisions of microservices in DevOps. We plan to gain a deep understanding of the challenges/solutions, architecture description, migration, refactoring, and evolution in MSA with DevOps. Our expected outcome would be: (i) a systematic mapping study on MSA in DevOps, (ii) an evidence based framework for synthesizing MSA challenges/solutions in DevOps, (iii) recommendations for documenting MSA in DevOps based on industrial practices, (iv) a migration process from monolithic applications/architecture to MSA in DevOps, and (v) empirical reports on MSA refactoring and evolution in DevOps.",,978-1-5386-2649-8978-1-5386-2650,10.1109/APSECW.2017.18,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8312518,Microservices Architecture;DevOps;Systematic Mapping Study,Systematics;Computer architecture;Software engineering;Conferences;Architecture;Market research,software architecture;software development management;software maintenance;software prototyping,DevOps;microservices architecture;MSA;software engineering paradigms,,,12,,,,,,IEEE,IEEE Conferences
Measuring service quality in service-oriented architectures using a hybrid particle swarm optimization algorithm and artificial neural network (PSO-ANN),M. Zavvar; S. Garavand; E. Sabbagh; M. Rezaei; H. Khalili; M. H. Zavvar; H. Motameni,"Department of Computer Engineering, Sari Branch, Islamic Azad University, Sari, Iran; Department of Computer Engineering, Sari Branch, Islamic Azad University, Sari, Iran; Department of Computer Engineering, Sari Branch, Islamic Azad University, Sari, Iran; Department of Computer Engineering, Sari Branch, Islamic Azad University, Sari, Iran; Department of Computer Engineering, Sari Branch, Islamic Azad University, Sari, Iran; Department of Computer Engineering, Sari Branch, Islamic Azad University, Sari, Iran; Department of Computer Engineering, Sari Branch, Islamic Azad University, Sari, Iran",2017 3th International Conference on Web Research (ICWR),,2017,,,78,83,"Web service combination is an important task performed in different phases of the service-oriented architecture lifecycle. Measuring service quality based on the non-functional characteristics is an exceedingly difficult task. Therefore, this paper presents a Multilayer Perceptron Artificial Neural Network (MLPANN) to provide a method for measuring quality of service in a service-oriented architecture. To improve network performance, Particle Swarm Optimization (PSO) is used to optimize the weights of the network. Finally, our results are compared to those of a combination of Different Evolution (DE) algorithm and MLPANN in terms of Mean Square Error (MSE), Root Mean Square Error (RMSE) and Standard Deviation (STD). The results demonstrate the superiority of the proposed method.",,978-1-5386-0420-5978-1-5386-0421,10.1109/ICWR.2017.7959309,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7959309,measuring;quality;service-oriented architecture;artificial neural network;particle swarm optimization,Quality of service;Service-oriented architecture;Training;Artificial neural networks;Algorithm design and analysis,evolutionary computation;mean square error methods;multilayer perceptrons;particle swarm optimisation;quality of service;service-oriented architecture;Web services,service quality measurement;hybrid particle swarm optimization algorithm;PSO-ANN;Web service combination;service-oriented architecture lifecycle;multilayer perceptron artificial neural network;MLPANN;quality of service;network weight optimization;different evolution;DE algorithm;root mean square error;RMSE;standard deviation;STD,,1,30,,,,,,IEEE,IEEE Conferences
A Service Discovery Approach for Testing Dynamic SOAs,A. Ceccarelli; M. Vieira; A. Bondavalli,NA; NA; NA,2011 14th IEEE International Symposium on Object/Component/Service-Oriented Real-Time Distributed Computing Workshops,,2011,,,133,142,"Service Oriented Architectures (SOAs) are composed of distributed services that interact through standard interfaces, and evolve transparently to other services and users. Although such dynamicity makes SOA a promising architectural style, it prevents organizations from having complete knowledge of the SOA and of its (possibly untrusted) services. This constitutes an important restriction to the applicability of the SOA architectural style to real-time and (business-)critical services, consequently requiring new solutions to automatically discover the services that compose the SOA and to assess their behavior during execution. In this paper we present an approach for services discovery in dynamic SOAs. The discovery algorithm we propose merges information provided by different services providers and is implemented in a testing service that becomes an intrinsic part of the SOA. The practical case study presented shows the effectiveness of the solution.",,978-1-4577-0303-4978-0-7695-4377,10.1109/ISORCW.2011.23,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5753522,service oriented architecture;system evolution;self-organization;discovery;testing,Service oriented architecture;Testing;Monitoring;Real time systems;Robustness;Business;Context,program testing;software architecture;user interfaces,service discovery approach;service oriented architectures;distributed services;SOA architectural style;real-time systems;business-critical systems;services providers,,5,22,,,,,,IEEE,IEEE Conferences
Service Oriented Steganography - A Novel Approach towards Autonomic Secured Distributed Heterogeneous Environments,P. Lalbakhsh; S. Ravanbakhsh; M. N. Fesharaki; N. Sohrabi,NA; NA; NA; NA,2009 International Conference on Signal Processing Systems,,2009,,,418,422,"The paper illustrates a distributed framework based on service oriented architecture, on which a logical transparent steganographic layer is developed. In this approach the related works on steganography and its anatomy is semantically studied and broken down into some independent services which are allocated on a network infrastructure. According to the underlying service oriented architecture (SOA), these services are able to communicate to each other or the other system services through a common language to dynamically form the desired compositions. This structure not only distributes the overall load of the process, it also considers some important system attributes such as reusability, simplicity, outsourcing, maintainability, flexibility and availability. Because of the open structure of the system, varieties of steganography algorithms can be supported for varieties of secrets, according to an evaluation strategy which is also considered as a service on the network. To clarify the proposed approach, the related ADL model together with an example scenario is expressed.",,978-0-7695-3654,10.1109/ICSPS.2009.111,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5166821,Data hiding;distributed architecture;reusability;security;service oriented architecture;steganograpy;web services,Steganography;Service oriented architecture;Information security;Cryptography;Anatomy;Communication system security;Humans;Signal processing;Distributed computing;Outsourcing,distributed algorithms;resource allocation;security of data;steganography;Web services,service-oriented steganography algorithm;autonomic secured distributed heterogeneous environment;service oriented architecture;logical transparent steganographic layer;load distribution;system reusability;system maintainability;system flexibility;system outsourcing;ADL model;Web service;data hiding;data security,,1,23,,,,,,IEEE,IEEE Conferences
Service Discovery Using a Semantic Algorithm in a SOA Modernization Process from Legacy Web Applications,E. Sosa-Sánchez; P. J. Clemente; M. Sánchez-Cabrera; J. M. Conejero; R. Rodríguez-Echeverría; F. Sánchez-Figueroa,NA; NA; NA; NA; NA; NA,2014 IEEE World Congress on Services,,2014,,,470,477,"Service-oriented architectures (SOA) offer a suitable solution to manage the continuous changes in companies business processes. SOA facilitates the alignment of business process with underlying system services. There is a high percentage of Legacy Web Applications (LWA) developed by software factories that were implemented by using Model-View Controller (MVC) frameworks and without considering SOA in their development process. In this context, many companies are performing a modernization of their systems to be adapted to SOA. However, this migration is usually carried out ad-hoc by means of not reusable and error-prone manual processes. Additionally, these migration processes are often performed at a low abstraction level, close to code, hindering reusability and maintainability of the obtained systems. In this paper a Model-Driven systematic and semi-automatic approach to modernize legacy web applications to SOA is presented. The approach eases the reutilization of the process at different domains, since the underlying services of the LWA are identified and generated from model-driven techniques, but also of the new generated system since these new services may be offered as an interoperable service layer. Although the paper completely introduces the approach, it mainly focuses on the semantic process defined to discover services of the LWA that may be later associated (aligned) to the company business processes.",2378-3818,978-1-4799-5069-0978-1-4799-5068,10.1109/SERVICES.2014.90,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6903309,Reverse engineering;web applications;service- oriented architecture;semantic algorithms;service discovery;model-driven engineering,Semantics;Service-oriented architecture;Companies;Unified modeling language;Dictionaries,business data processing;Internet;open systems;service-oriented architecture;software maintenance;software reusability,service discovery;semantic algorithm;SOA modernization process;legacy Web applications;service-oriented architectures;business processes;LWA;model-view controller;MVC;software factories;error-prone manual processes;system reusability;system maintainability;model-driven techniques;interoperable service layer,,1,17,,,,,,IEEE,IEEE Conferences
Research on Distributed Architecture Based on SOA,H. Li; Z. Wu,NA; NA,2009 International Conference on Communication Software and Networks,,2009,,,670,674,"In essence, Service Oriented Architecture (SOA) is distributed and shall not have any centralized control point. Any application can access an SOA network for interaction as long as it complies with the corresponding standards. A centralized SOA architecture can also be regarded as a part of SOA. This paper gives a general overview of the fundamental principles, features, and core technologies of distributed SOA, analyzes the integration of distributed object technologies and Web technology, and describes the difference between distributed SOA and centralized SOA. With the previous as a basis, this paper discusses the function and implementation of SOA in the distributed architecture, proposes an SOA-based distributed multi-layer architecture and an application integration frame realized via J2EE. This application integration frame can connect any distributed application without restriction and support data and function sharing among applications,thus simplifying the implementation of the functions at various layers and providing better maintainability and scalability.",,978-0-7695-3522,10.1109/ICCSN.2009.176,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5076939,SOA;Distributed architecture;J2EE,Semiconductor optical amplifiers;Service oriented architecture;Computer architecture;Application software;Computer science;Petroleum;Centralized control;Scalability;Paper technology;Internet,distributed processing;Java;software architecture,distributed architecture;service oriented architecture;centralized SOA architecture;distributed object technologies;Web technology;distributed multilayer architecture;application integration frame;J2EE;function sharing,,18,8,,,,,,IEEE,IEEE Conferences
"Decisions, Models, and Monitoring -- A Lifecycle Model for the Evolution of Service-Based Systems",C. Inzinger; W. Hummer; I. Lytra; P. Leitner; H. Tran; U. Zdun; S. Dustdar,NA; NA; NA; NA; NA; NA; NA,2013 17th IEEE International Enterprise Distributed Object Computing Conference,,2013,,,185,194,"The process of engineering and provisioning service-based systems (SBS) follows a complex and dynamic lifecycle with different phases and levels of abstraction. We tackle the problem of making this lifecycle explicit, providing development time and runtime support for evolutionary changes in such systems. SBSs are modeled as integrated ecosystems consisting of four conceptual layers (or phases): design, implementation, deployment, and runtime. Our work is driven by the notion that identifying the right changes (monitoring) and effecting of these changes (adaptation) usually takes place individually on each layer. While considering changes on a single layer (e.g., runtime adaptation) is often sufficient, some cases require systematic escalation to adjacent layers. We present a generic lifecycle model that provides an abstracted view of the problem domain and can be mapped to concrete artifacts on each individual layer. We introduce a real-life scenario taken from the telecommunications domain, which serves as the basis for discussion of the challenges and our solution. Based on the scenario and our experience from a research project on Virtual Service Platforms, we evaluate three concrete use cases which illustrate the diversity of evolutionary changes supported by the approach.",1541-7719,978-0-7695-5081,10.1109/EDOC.2013.29,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6658278,,Adaptation models;Monitoring;Runtime;Abstracts;Quality of service;Concrete;Software,business data processing;service-oriented architecture;systems engineering;telecommunication services,service-oriented architecture;evolutionary change diversity;virtual service platforms;telecommunication domain;generic lifecycle model;conceptual layers;integrated ecosystems;dynamic lifecycle model;service-based system evolution;complex lifecycle model,,2,27,,,,,,IEEE,IEEE Conferences
WSDARWIN: A Decision-Support Tool for Web-Service Evolution,M. Fokaefs; E. Stroulia,NA; NA,2013 IEEE International Conference on Software Maintenance,,2013,,,444,447,"Service-oriented systems are fundamentally distributed in nature, relying on external services accessible through their public interfaces. Distributed ownership and lack of implementation transparency imply special challenges in the evolution of such systems. In order to alleviate the challenge faced by the consumers of their services, providers should, in principle, take into account the impact that service changes may have on the client applications, in addition to considering the potential benefits to be gained from the evolution of these services. In this paper, we present a decision tree to support the provider's service-evolution decision-making process. Using game theory, we construct the tree that makes explicit the value-cost trade-offs involved in considering the potential evolution of services.",1063-6773,978-0-7695-4981,10.1109/ICSM.2013.68,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6676928,,Games;Decision trees;Economics;Ecosystems;Biological system modeling;Web services,decision making;decision trees;game theory;service-oriented architecture;software maintenance;Web services,WSDARWIN;decision-support tool;Web-service evolution;service-oriented system;decision tree;service-evolution decision-making process;game theory;value-cost trade-offs;large-scale distributed systems;service-oriented architecture,,,8,,,,,,IEEE,IEEE Conferences
Service oriented specification and study of quality performance attribute,H. Mcheick; S. Dodge; M. Karam,"Department of Computer Science and Mathematics, University of Quebec at Chicoutimi, UQAC, Canada; Department of Computer Science and Mathematics, University of Quebec at Chicoutimi, UQAC, Canada; Department of Computer Science, American University of Beirut (AUB), Lebanon",2012 International Conference on Communications and Information Technology (ICCIT),,2012,,,80,84,"SOA enables integration of applications and resources flexibly, representing every application or resource as a service. It still suffer from no clear specifications to define this concept as the architectural style, and in particular, it has performance problem related to the creation of services that affect the total processing time of the system. We have defined more clearly SOA by providing a framework for this architecture, which allowed us to define the form of architectural style (components, connectors, services, etc.). Based on ADD, three architectural models have been well integrated into SOA. This is the breakdown of service (service breaks in basic services to facilitate reusability), the cache (to reduce the processing time of a service) and strategy (reduce processing time, easier maintainability, etc.). A case study is done to verify these tactics.",,978-1-4673-1950-8978-1-4673-1949-2978-1-4673-1948,10.1109/ICCITechnol.2012.6285847,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6285847,SOA;Style;Patterns;ADD,Service oriented architecture;Semiconductor optical amplifiers;Business;Time factors;Computer architecture;Simple object access protocol,cache storage;formal specification;service-oriented architecture,service oriented specification;quality performance attribute;SOA;architectural style;components;connectors;ADD;cache;service-oriented architecture model,,,17,,,,,,IEEE,IEEE Conferences
A structured legacy to SOA migration process and its evaluation in practice,R. Khadka; A. Saeidi; S. Jansen; J. Hage,"Department of Information and Computing Sciences, Utrecht University, The Netherlands; Department of Information and Computing Sciences, Utrecht University, The Netherlands; Department of Information and Computing Sciences, Utrecht University, The Netherlands; Department of Information and Computing Sciences, Utrecht University, The Netherlands",2013 IEEE 7th International Symposium on the Maintenance and Evolution of Service-Oriented and Cloud-Based Systems,,2013,,,2,11,"Legacy to Service-Oriented Architecture migration approaches have been extensively researched over the last decade, primarily to reuse the valuable business logic that resides within legacy applications. Interestingly, most of the proposed approaches fail to cover the complete process from the technological, organizational and business perspectives. This paper presents a structured six-phase process that covers both migration planning and execution, and does so by considering the aforementioned perspectives. Furthermore, within each of the six phases of the process, we present a rationale to justify the need of each phase, current practices within each phase, and challenges that require further attention. The proposed structured process is then evaluated by (i) migrating features of two simple yet representative applications to SOA, and (ii) by mapping activities reported in literature. Based on our findings, we believe that the proposed structured process is successfully fitting to capture the essence of the activities that are performed within the legacy to SOA migration domain by combining various perspectives.",2326-6937;2326-6910,978-1-4673-4889,10.1109/MESOCA.2013.6632729,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6632729,,Business;Semiconductor optical amplifiers;Service-oriented architecture;Maintenance engineering;Planning;Reverse engineering;Testing,business data processing;organisational aspects;service-oriented architecture;software maintenance,structured legacy;SOA migration process;service-oriented architecture migration approaches;valuable business logic;legacy applications;business perspectives;organizational perspectives;migration planning;structured six-phase process;technological perspectives,,7,66,,,,,,IEEE,IEEE Conferences
Comparative evaluation of the maintainability of RESTful and SOAP-WSDL web services,R. R. de Oliveira; R. V. Vieira Sanchez; J. C. Estrella; R. Pontin de Mattos Fortes; V. Brusamolin,"Universidade de São Paulo, Instituto de Ciências Matemáticas e de Computação, Avenida Trabalhador São-Carlense, 400, Centro - CEP: 13566-590, São Carlos, Brazil; Universidade de São Paulo, Instituto de Ciências Matemáticas e de Computação, Avenida Trabalhador São-Carlense, 400, Centro - CEP: 13566-590, São Carlos, Brazil; Universidade de São Paulo, Instituto de Ciências Matemáticas e de Computação, Avenida Trabalhador São-Carlense, 400, Centro - CEP: 13566-590, São Carlos, Brazil; Universidade de São Paulo, Instituto de Ciências Matemáticas e de Computação, Avenida Trabalhador São-Carlense, 400, Centro - CEP: 13566-590, São Carlos, Brazil; 11o Centro de Telemática, Rua 31 de março, Pinheirinho, s/n - CEP: 81150-900, Curitiba - PR, Brazil",2013 IEEE 7th International Symposium on the Maintenance and Evolution of Service-Oriented and Cloud-Based Systems,,2013,,,40,49,"Web services not only are one of the most promising technologies in terms of the availability of network services but also solve the problem of integrating heterogeneous applications on the web. Because of their increasing popularity, maintainability has become an important issue as it helps to reduce maintenance costs and improve software quality. However, from the perspective of evolution and maintenance, there are many issues to be examined. This paper describes a controlled experiment to compare RESTful and SOAP-WSDL web services in terms of specific modifiability sub-characteristics and time spent on web services maintenance. The findings indicate that RESTful web services are more maintainable on the server-side, while SOAP-WSDL web services are more maintainable on the client-side. Studies based on controlled experiments are promising and may help reduce the maintenance costs of web services as well as improve the quality of software-oriented services.",2326-6937;2326-6910,978-1-4673-4889,10.1109/MESOCA.2013.6632733,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6632733,Software Maintainability;Controlled Experiment;Web Services;RESTful;SOAP-WSDL,Web services;Maintenance engineering;Servers;Software measurement,client-server systems;software maintenance;software quality;Web services,RESTful;SOAP-WSDL Web services;network service availability;Web heterogeneous applications;maintenance cost;software quality improvement;modifiability subcharacteristics;Web services maintenance;server-side maintainability;client-side maintainability;software-oriented service,,2,28,,,,,,IEEE,IEEE Conferences
Evolution pattern for Service Evolution in Clouds,Zhe Wang; X. Liu; K. Chalmers; Cheng Guojian,"School of Computing, Edinburgh Napier University, EH10 5DT, UK; School of Computing, Edinburgh Napier University, EH10 5DT, UK; School of Computing, Edinburgh Napier University, EH10 5DT, UK; School of Computer Science, Xi'an Shiyou (Petroleum) University, DianZi 2nd Road 18, China",2012 International Conference for Internet Technology and Secured Transactions,,2012,,,704,709,"The proposed research will focus on developing a novel approach to solve Software Service Evolution problems in Computing Clouds. The approach will support dynamic evolution of the software service in clouds via a set of discovered evolution patterns. An initial survey informed us that such an approach does not exist yet and is in urgent need. Pattern will be categorised into five groups in order to solve different kinds of evolution problems, such as SaaS dependency dealing, SaaS structure transformation, SaaS evolvability enhancement, SaaS system dynamic enhancement and SaaS function enhancement. It contains dynamic process and static details. Evolution mechanism will be used for driven the evolution pattern into execution; both mechanism and pattern are corresponded with each other. After the pattern design is finished, the whole approach will have these contributions: 1) the synergistic pattern-driven framework for cloud service evolution; 2) a repository of evolution patters for cloud services (mainly for SaaS); 3) the formal specification of the evolution patterns; 4) the mechanism to apply the patterns to cloud service evolution at run time: driving the evolution, monitoring the process, and verifying the correctness; 5) the resultant prototype tool. Both dynamic and static description of the evolution pattern has been given in the paper.",,978-1-908320-08-7978-1-4673-5325,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6470908,Evolution Pattern;Clouds Computing;Service Evolution,Educational institutions;Software;Coordinate measuring machines,cloud computing;service-oriented architecture,evolution pattern discovery;cloud service evolution;software service evolution;cloud computing;pattern categorisation;SaaS dependency dealing;SaaS structure transformation;SaaS evolvability enhancement;SaaS system dynamic enhancement;SaaS function enhancement;evolution mechanism;pattern design;software-as-a-service;pattern dynamic description;pattern static description;service-oriented architecture,,1,7,,,,,,IEEE,IEEE Conferences
Evolution of inter-organizational workflows: The case-transfer pattern,S. Boukhedouma; Z. Alimazighi; M. Oussalah,"LSI Laboratory- Department of Computer science, USTHB University Algiers, Algeria; LSI Laboratory- Department of Computer science, USTHB University Algiers, Algeria; LINA Laboratory, University of Nantes, Nantes, France",2016 4th IEEE International Colloquium on Information Science and Technology (CiSt),,2016,,,235,242,"This paper deals with evolution of inter-organizational workflow (IOWF) models. Here, we consider process models obeying to the “Case-transfer” cooperation pattern. Our aim is to identify evolution aspects of these process models and to provide mechanisms for evolution support at different levels for the IOWF process definition. First, we conceptualize the Case-transfer model using the SOA paradigm which gives additional degree of flexibility to the IOWF processes, thanks to the main characteristics of services. Then, we discuss the differents aspects of evolution and we show the feasability of our approach by describing our evolution framework.",2327-1884,978-1-5090-0751-6978-1-5090-0752,10.1109/CIST.2016.7805049,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7805049,B2B;IOWF;Case-transfer;SOA;Evolution;Abstraction,Adaptation models;Business;Process control;Context;Service-oriented architecture;Computational modeling;Collaboration,organisational aspects;service-oriented architecture;workflow management software,inter-organizational workflows;IOWF;case-transfer cooperation pattern;evolution support;SOA paradigm,,,34,,,,,,IEEE,IEEE Conferences
